NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;FE.INSTAL.;FE.PROX.VIS.;TIPO SISTEMA;DESC. TIPO SIST.;TOT.PUNTOS;CANT.FUSIBLES;CANT.BOQUILLAS;NUM.SERIE CARTUCHO;FE.CAMB.CARTUCHO;NUM.SERIE ARMARIO;
;0023082;B.K.13998 - BLANES;2;CAMPANA BROILER;         ; 7-ABR-15;ANSUL          ;R-102;  7;  1;  4;;         ;;
;0023088;B.K.14932 - BARCELONA - L'ILLA DIAGONAL ;2;CAMPANA BROILER; 1-ENE-04; 1-MAY-14;SF/A 300       ;;  7;  2;  4;LT-30; 1-JUL-03;S-001014;
;0023077;B.K.13024 - CABRERA DE MAR;2;CAMPANA BROILER;         ;17-NOV-17;SF/A 300       ;;  7;  1;  4;;         ;;
;0023110;B.K.9668 - HOSPITALET * C.C. LA FARGA;2;CAMPANA BROILER;         ;11-MAY-16;ANSUL          ;R-102;  7;  1;  4;;         ;;
;0023109;B.K.16474 - CUNIT;2;CAMPANA BROILER;         ; 9-DIC-14;ANSUL          ;R-102;  7;  1;  4;;         ;;
;0023102;B.K.7605 - MADRID * CC.GRAN V. HORTALEZA;2;CAMPANA BROILER;         ;15-JUL-15;ANSUL          ;R-102;  7;  1;  4;;         ;;
;0023097;B.K.16445 - MADRID * ISLA AZUL;2;CAMPANA BROILER;         ;26-JUL-16;ANSUL          ;R-102;  7;  1;  4;;         ;;
;0023105;B.K.13679 - EL ESCORIAL;2;CAMPANA BROILER;         ;29-ENE-16;ANSUL          ;R-102;  7;  1;  4;;         ;;
;0023091;B.K.7207 - MADRID * BRAVO MURILLO;2;CAMPANA BROILER;         ;18-DIC-14;ANSUL          ;R-102;  7;  1;  4;;         ;;
;2248;FUNDACIO ESADE - EDIFICIO 2;3;CAMP. PLANCHA Y CAMP. PARED;         ;17-NOV-17;SF/A 300       ;;  0;  0;  0;;         ;;
;2248001;FUNDACIO ESADE - EDIFICIO 3;7;CAMPANA B;         ;17-NOV-17;OTROS          ;SPRINKLER;  0;  0;  3;;         ;;
;0127052;VIENA CABRERA;;COCINA;25-SEP-15;         ;SF/P 600       ;;  0;  0;  0;;         ;;
;3114001;B.K. FREE STANDING CARCAIXENT;2;BROILER;14-DIC-15;         ;SF/A 300       ;;  0;  0;  0;;         ;;
;3114001;B.K. FREE STANDING CARCAIXENT;2;BROILER;14-DIC-15;         ;SF/A 300       ;;  0;  0;  0;;         ;;
;0023174;B.K. 21677 - MOSTOLES ELSOTO;2;CAMPANA BROILER;         ;23-OCT-18;;;  0;  0;  0;;         ;;
;2068001;CENTRE BANC SABADELL EDIFICI 3607;4;Campana Pared (COCINA LIVING);         ;27-ABR-18;OTROS          ;Sprinkler;  0;  0;  0;;         ;;
;0127006;VIENA FILADORS SABADELL;;;         ;         ;;;  0;  0;  0;;         ;;
;0127058;VIENA - C/ Advocat Cirera, 1;2;CAMPANA CENTRAL + CAMOANA PARE;31-JUL-17;10-OCT-20;SF/P 450       ;; 10;  5;  8;;         ;;
;4784;EME CATEDRAL HOTEL;1;CAMPANA CENTRAL;         ; 1-JUN-19;SF/P 400       ;;  0;  0;  0;;         ;;
;0023297;B.K.15168 - MARIA AUXILIADORA;2;CAMPANA BROILER;         ; 1-OCT-19;ANSUL          ;R-102;  7;  1;  4;;         ;;
;3659;;2;CAMPANA HORNOS Y FREIDORA ;         ;         ;SF/P 600       ;;  0;  0;  0;;         ;;
;0023414;B.K.26732 - AVDA. DE BURGOS FS;;;         ;10-DIC-19;SF/A 300       ;;  0;  0;  0;;         ;;
-;3922002;RESIDENCIA ASISTIDA;1;CAMPANA;         ;31-OCT-12;ANSUL          ;R-102;  0;  0;  0;;         ;;
----;2305;REST. EL REY DE LA GAMBA I;1;CAMPANA PLANCHA               ;19-MAR-98;17-NOV-22;SF/P 450       ;; 14;  6; 11;                    ;         ;                    ;
----;2305;REST. EL REY DE LA GAMBA I;2;CAMPANA DE PARED FOGONES;19-MAR-98;17-NOV-22;SF/P 450       ;TANDEM + 260; 20;  7; 19;                    ;         ;                    ;
...;1553004;HOTEL FOXA - TRES CANTOS;1;CAMPANA PARED COCINA Nß1;13-JUN-05; 1-ENE-08;SF/A 300       ;TANDEM; 14;  4;  9;;         ;;
...;1553004;HOTEL FOXA - TRES CANTOS;2;CAMPANA PARED COCINA Nß 2;13-JUN-05; 1-ENE-08;SF/A 300       ;TANDEM; 14;  4;  9;;         ;;
...;1553004;HOTEL FOXA - TRES CANTOS;3;CAMPANA PARED COCINA Nß3;13-JUN-05; 1-ENE-08;SF/A 300       ;; 11;  3;  8;;         ;;
...;1553004;HOTEL FOXA - TRES CANTOS;4;CAMPANA PARED COCINA Nß4;13-JUN-05; 1-ENE-08;SF/A 300       ;; 11;  4;  8;;         ;;
...;1553004;HOTEL FOXA - TRES CANTOS;5;CAMPNA CENTRAL COC.HOTEL Nß2-B;13-JUN-05; 1-ENE-08;SF/P 450       ;; 13;  4; 13;;         ;;
AC-SF-0809022;3609;LA TAVOLA DE BANGALOO;1;CAMPANA PARED 3m;24-DIC-08;         ;SF/A 300       ;;  8;  3;  6;;         ;006253;
BAR-05-02-01/01;0127006;VIENA FILADORS SABADELL;1;CAMPANA PARED                 ;28-AGO-05;12-JUL-22;SF/P 450       ;;  8;  4;  7;                    ;         ;                    ;
BAR-05-02-01/01;0127006;VIENA FILADORS SABADELL;2;CAMPANA PARED;28-AGO-05;12-JUL-22;SF/P 260       ;;  0;  1;  0;;         ;;
BAR-05-02-01/02;0127012;VIENA PARK VALLES;1;CAMPANA PRINCIPAL             ;23-OCT-98;19-JUL-22;SF/P 400       ;ESP;  8;  4;  6;                    ;         ;                    ;
BAR-05-02-01/02;0127012;VIENA PARK VALLES;2;CAMPANA FREIDORAS             ;23-OCT-98;19-JUL-22;SF/P 260       ;;  6;  1;  4;                    ;         ;                    ;
BAR-05-02-01/04;0127002;VIENA TERRASSA - C/ Joan Coromines;1;CAMPANA CENTRAL               ;15-MAY-00;26-AGO-22;SF/P 450       ;TANDEM 450; 25;  4; 23;                    ;         ;                    ;
BAR-05-02-01/05;0127014;VIENA RAMASSAR;1;CAMPANA FREIDORA Y COCINA     ; 1-OCT-99;13-JUL-22;SF/P 400       ;;  6;  2;  4;                    ;         ;;
BAR-05-02-01/05;0127014;VIENA RAMASSAR;2;CAMPANA CENTRAL               ; 1-OCT-99;13-JUL-22;SF/P 450       ;; 11;  5;  9;                    ;         ;;
BAR-05-02-01/06;0127015;VIENA XALET MONTSERRAT;1;CAMPANA FREIDORAS             ;20-JUN-01;19-JUL-22;SF/P 450       ;;  7;  3;  5;                    ;         ;                    ;
BAR-05-02-01/06;0127015;VIENA XALET MONTSERRAT;2;CAMPANA PRINCIPAL             ;20-JUN-01;19-JUL-22;SF/P 450       ;;  6;  4;  5;                    ;         ;                    ;
