NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;NUM.SERIE DEP.;FE.CAMBIO DEP.;NUM.LOTE;FE.LOTE;
BAR-05-02-01/07;0127013;VIENA PIZZERIA SABADELL EIX MACIA;1;CAMPANA PRINCIPAL             ;Nß0502517 FE.8/10/13; 1-MAY-24;LIQUIDO AZUL; 1-ABR-14;
;;;;;; 1-MAY-24;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/08;0127003;VIENA CAN ROQUETA - ALMACEN;1;CAMPANA ASADOR 6 MT           ;Nß010686 F.29/08/16; 1-NOV-26;LIQUIDO AZUL HE; 1-SEP-16;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/08;0127003;VIENA CAN ROQUETA - ALMACEN;2;CAMPANA ASADOR 6 MT (B)       ;Nß010687 F.29/08/16; 1-NOV-26;LIQUIDO AZUL HE; 1-SEP-16;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/10;0127017;VIENA PLATJA D'ARO;1;CAMPANA DE PARED 3,30 m ;2008; 1-DIC-28;LIQUIDO AZUL HE; 1-DIC-18;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/11;0127016;VIENA XALET GAVARRES;1;CAMPANA CENTRAL               ;03036-1***20-05-08; 1-JUL-28;LIQUIDO AZUL HE; 1-SEP-19;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/11;0127016;VIENA XALET GAVARRES;2;CAMPANA CENTRAL ;6151-13; 1-JUL-28;LIQUIDO AZUL HE; 1-SEP-19;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/12;0127011;VIENA XALET MANRESA;1;CAMPANA CENTRAL 5 MT          ;2015; 1-OCT-25;L-4144; 1-MAR-15;
;;;;;;         ;;         ;
;;;;;;         ;;         ;
BAR-05-02-01/12;0127011;VIENA XALET MANRESA;2;CAMPANA PARED 3,70 MT         ;2015; 1-OCT-25;L-4144; 1-MAR-15;
