NUM CONTRATO;COD. CLI;ESTABLECIMIENTO;NUM.SISTEMA;DESCR. ZONA;TIPO CAMPANA;DESCR. CAMP.;TIPO BOQUILLA CAMP;NUM.BOQUILLAS;VALOR BOQUILLAS;PUNTOS
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23070;B.K.14897 - SITGES;1;CAMPANA FREIDORAS (3)         ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;FREIDORA                      ;L230 ;3;2;6
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23070;B.K.14897 - SITGES;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;23051;B.K.5871 - VALENCIA III - CAMPANAR;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;685028;B.K. 15531 AEROPUERTO PALMA DE MALLORCA;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;4069002;B.K. 19429 - TORRENOVA;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L2W  ;2;2;4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;3698;B.K.11629 PLAYA D'EMBOSSA;2;CAMPANA BROILER               ;PARED  ;CONDUCTO EXTRACCI‡N           ;L2W  ;1;2;2
;;;;;PARED  ;COLECTOR FILTROS PARED        ;L1N  ;1;1;1
;;;;;PARED  ;BROILER                       ;L1W  ;2;1;2
;;;;;;;;;;
